
2024/01/16 (21:31:10) | ===> btop++ v.1.3.0
2024/01/16 (21:31:10) | INFO: Logger set to INFO
2024/01/16 (21:31:10) | INFO: Logger set to DEBUG
2024/01/16 (21:31:11) | INFO: Logger set to INFO
2024/01/16 (21:31:14) | INFO: Logger set to INFO
2024/01/16 (21:31:16) | INFO: Logger set to INFO

2024/10/08 (15:00:50) | ===> btop++ v.1.4.0
2024/10/08 (15:00:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (15:00:50) | ===> btop++ v.1.4.0
2024/10/08 (15:00:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (14:53:51) | ===> btop++ v.1.4.0
2024/10/11 (14:53:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (14:53:51) | ===> btop++ v.1.4.0
2024/10/11 (14:53:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (14:53:54) | ===> btop++ v.1.4.0
2024/10/11 (14:53:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (16:22:33) | ===> btop++ v.1.4.0
2024/10/12 (16:22:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:49:05) | ===> btop++ v.1.4.0
2024/12/12 (20:49:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:58:46) | ===> btop++ v.1.4.0
2024/12/28 (12:58:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:59:08) | ===> btop++ v.1.4.0
2024/12/28 (12:59:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:00:56) | ===> btop++ v.1.4.0
2024/12/28 (13:00:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (16:06:16) | ===> btop++ v.1.4.0
2025/01/04 (16:06:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (10:48:32) | ===> btop++ v.1.4.0
2025/02/27 (10:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (15:26:14) | ===> btop++ v.1.4.0
2025/03/09 (15:26:14) | WARNING: Intel GPU: Failed to initialize PMU
